,,Mortalité J30,Mortalité J30,Mortalité J30,Mortalité J30,Complications J30,Complications J30,Complications J30,Complications J30
,,Anémie,Pas d'anémie,Hazard Ratio IC 95%,P value,Anémie,Pas d'anémie,Hazard Ratio IC 95%,P value
Age,80-84,,,,,,,,
Age,85-89,,,,,,,,
Age,>90,,,,,,,,
Anesthesie,AG,,,,,,,,
Anesthesie,Autre,,,,,,,,
Type chirurgie,Urgente,,,,,,,,
Type chirurgie,Programmee,,,,,,,,
Severite chirurgie,Majeure,,,,,,,,
Severite chirurgie,Intermediaire,,,,,,,,
Severite chirurgie,Mineure,,,,,,,,
Fragilite,Presence,,,,,,,,
Fragilite,Absence,,,,,,,,
IRA,Presence,,,,,,,,
IRA,Absence,,,,,,,,
Score ASA,1,,,,,,,,
Score ASA,2,,,,,,,,
Score ASA,3,,,,,,,,
Score ASA,4,,,,,,,,
Score ASA,5,,,,,,,,
